sample,penicillin,gff
6999-6-5,0,data/tutorial_core/gff/6999-6-5.gff3
6999-6-7,0,data/tutorial_core/gff/6999-6-7.gff3
6999-6-8,1,data/tutorial_core/gff/6999-6-8.gff3
6999-6-9,0,data/tutorial_core/gff/6999-6-9.gff3
6999-7-10,1,data/tutorial_core/gff/6999-7-10.gff3
6999-7-11,1,data/tutorial_core/gff/6999-7-11.gff3
6999-7-12,0,data/tutorial_core/gff/6999-7-12.gff3
6999-7-13,0,data/tutorial_core/gff/6999-7-13.gff3
6999-7-14,1,data/tutorial_core/gff/6999-7-14.gff3
6999-7-15,0,data/tutorial_core/gff/6999-7-15.gff3
6999-7-17,0,data/tutorial_core/gff/6999-7-17.gff3
6999-7-18,1,data/tutorial_core/gff/6999-7-18.gff3
6999-7-19,0,data/tutorial_core/gff/6999-7-19.gff3
6999-7-1,1,data/tutorial_core/gff/6999-7-1.gff3
6999-7-20,1,data/tutorial_core/gff/6999-7-20.gff3
6999-7-21,0,data/tutorial_core/gff/6999-7-21.gff3
6999-7-22,1,data/tutorial_core/gff/6999-7-22.gff3
6999-7-23,1,data/tutorial_core/gff/6999-7-23.gff3
6999-7-2,0,data/tutorial_core/gff/6999-7-2.gff3
6999-7-3,0,data/tutorial_core/gff/6999-7-3.gff3
6999-7-4,0,data/tutorial_core/gff/6999-7-4.gff3
6999-7-5,1,data/tutorial_core/gff/6999-7-5.gff3
6999-7-6,0,data/tutorial_core/gff/6999-7-6.gff3
6999-7-7,1,data/tutorial_core/gff/6999-7-7.gff3
6999-7-9,0,data/tutorial_core/gff/6999-7-9.gff3
7001-1-10,1,data/tutorial_core/gff/7001-1-10.gff3
7001-1-12,0,data/tutorial_core/gff/7001-1-12.gff3
7001-1-13,0,data/tutorial_core/gff/7001-1-13.gff3
7001-1-14,0,data/tutorial_core/gff/7001-1-14.gff3
7001-1-15,0,data/tutorial_core/gff/7001-1-15.gff3
7001-1-16,1,data/tutorial_core/gff/7001-1-16.gff3
7001-1-17,1,data/tutorial_core/gff/7001-1-17.gff3
7001-1-18,0,data/tutorial_core/gff/7001-1-18.gff3
7001-1-19,1,data/tutorial_core/gff/7001-1-19.gff3
7001-1-1,0,data/tutorial_core/gff/7001-1-1.gff3
7001-1-20,1,data/tutorial_core/gff/7001-1-20.gff3
7001-1-21,1,data/tutorial_core/gff/7001-1-21.gff3
7001-1-22,1,data/tutorial_core/gff/7001-1-22.gff3
7001-1-23,1,data/tutorial_core/gff/7001-1-23.gff3
7001-1-2,1,data/tutorial_core/gff/7001-1-2.gff3
7001-1-3,0,data/tutorial_core/gff/7001-1-3.gff3
7001-1-4,0,data/tutorial_core/gff/7001-1-4.gff3
7001-1-5,0,data/tutorial_core/gff/7001-1-5.gff3
7001-1-6,1,data/tutorial_core/gff/7001-1-6.gff3
7001-1-7,0,data/tutorial_core/gff/7001-1-7.gff3
7001-1-8,1,data/tutorial_core/gff/7001-1-8.gff3
7001-1-9,0,data/tutorial_core/gff/7001-1-9.gff3
7001-2-10,0,data/tutorial_core/gff/7001-2-10.gff3
7001-2-11,0,data/tutorial_core/gff/7001-2-11.gff3
7001-2-12,0,data/tutorial_core/gff/7001-2-12.gff3
7001-2-13,0,data/tutorial_core/gff/7001-2-13.gff3
7001-2-14,1,data/tutorial_core/gff/7001-2-14.gff3
7001-2-15,0,data/tutorial_core/gff/7001-2-15.gff3
7001-2-16,0,data/tutorial_core/gff/7001-2-16.gff3
7001-2-17,0,data/tutorial_core/gff/7001-2-17.gff3
7001-2-18,1,data/tutorial_core/gff/7001-2-18.gff3
7001-2-19,0,data/tutorial_core/gff/7001-2-19.gff3
7001-2-1,0,data/tutorial_core/gff/7001-2-1.gff3
7001-2-20,0,data/tutorial_core/gff/7001-2-20.gff3
7001-2-21,1,data/tutorial_core/gff/7001-2-21.gff3
7001-2-22,0,data/tutorial_core/gff/7001-2-22.gff3
7001-2-23,1,data/tutorial_core/gff/7001-2-23.gff3
7001-2-2,1,data/tutorial_core/gff/7001-2-2.gff3
7001-2-3,0,data/tutorial_core/gff/7001-2-3.gff3
7001-2-4,1,data/tutorial_core/gff/7001-2-4.gff3
7001-2-6,0,data/tutorial_core/gff/7001-2-6.gff3
7001-2-7,1,data/tutorial_core/gff/7001-2-7.gff3
7001-2-8,0,data/tutorial_core/gff/7001-2-8.gff3
7001-2-9,0,data/tutorial_core/gff/7001-2-9.gff3
7001-3-10,0,data/tutorial_core/gff/7001-3-10.gff3
7001-3-11,0,data/tutorial_core/gff/7001-3-11.gff3
7001-3-12,0,data/tutorial_core/gff/7001-3-12.gff3
7001-3-13,0,data/tutorial_core/gff/7001-3-13.gff3
7001-3-14,1,data/tutorial_core/gff/7001-3-14.gff3
7001-3-15,1,data/tutorial_core/gff/7001-3-15.gff3
7001-3-16,0,data/tutorial_core/gff/7001-3-16.gff3
7001-3-17,0,data/tutorial_core/gff/7001-3-17.gff3
7001-3-18,0,data/tutorial_core/gff/7001-3-18.gff3
7001-3-19,0,data/tutorial_core/gff/7001-3-19.gff3
7001-3-1,1,data/tutorial_core/gff/7001-3-1.gff3
7001-3-20,0,data/tutorial_core/gff/7001-3-20.gff3
7001-3-21,1,data/tutorial_core/gff/7001-3-21.gff3
7001-3-22,0,data/tutorial_core/gff/7001-3-22.gff3
7001-3-2,1,data/tutorial_core/gff/7001-3-2.gff3
7001-3-3,1,data/tutorial_core/gff/7001-3-3.gff3
7001-3-4,1,data/tutorial_core/gff/7001-3-4.gff3
7001-3-5,1,data/tutorial_core/gff/7001-3-5.gff3
7001-3-6,0,data/tutorial_core/gff/7001-3-6.gff3
7001-3-7,1,data/tutorial_core/gff/7001-3-7.gff3
7001-3-8,1,data/tutorial_core/gff/7001-3-8.gff3
7001-3-9,1,data/tutorial_core/gff/7001-3-9.gff3
7553-4-10,0,data/tutorial_core/gff/7553-4-10.gff3
7553-4-11,1,data/tutorial_core/gff/7553-4-11.gff3
7553-4-12,0,data/tutorial_core/gff/7553-4-12.gff3
7553-4-13,0,data/tutorial_core/gff/7553-4-13.gff3
7553-4-14,0,data/tutorial_core/gff/7553-4-14.gff3
7553-4-15,1,data/tutorial_core/gff/7553-4-15.gff3
7553-4-16,0,data/tutorial_core/gff/7553-4-16.gff3
7553-4-17,1,data/tutorial_core/gff/7553-4-17.gff3
7553-4-18,1,data/tutorial_core/gff/7553-4-18.gff3
7553-4-19,1,data/tutorial_core/gff/7553-4-19.gff3
7553-4-1,0,data/tutorial_core/gff/7553-4-1.gff3
7553-4-20,1,data/tutorial_core/gff/7553-4-20.gff3
7553-4-21,0,data/tutorial_core/gff/7553-4-21.gff3
7553-4-22,0,data/tutorial_core/gff/7553-4-22.gff3
7553-4-23,1,data/tutorial_core/gff/7553-4-23.gff3
7553-4-24,0,data/tutorial_core/gff/7553-4-24.gff3
7553-4-26,0,data/tutorial_core/gff/7553-4-26.gff3
7553-4-27,0,data/tutorial_core/gff/7553-4-27.gff3
7553-4-28,1,data/tutorial_core/gff/7553-4-28.gff3
7553-4-29,0,data/tutorial_core/gff/7553-4-29.gff3
7553-4-2,0,data/tutorial_core/gff/7553-4-2.gff3
7553-4-30,0,data/tutorial_core/gff/7553-4-30.gff3
7553-4-31,0,data/tutorial_core/gff/7553-4-31.gff3
7553-4-32,0,data/tutorial_core/gff/7553-4-32.gff3
7553-4-33,1,data/tutorial_core/gff/7553-4-33.gff3
7553-4-34,1,data/tutorial_core/gff/7553-4-34.gff3
7553-4-35,0,data/tutorial_core/gff/7553-4-35.gff3
7553-4-36,1,data/tutorial_core/gff/7553-4-36.gff3
7553-4-37,0,data/tutorial_core/gff/7553-4-37.gff3
7553-4-38,0,data/tutorial_core/gff/7553-4-38.gff3
7553-4-39,1,data/tutorial_core/gff/7553-4-39.gff3
7553-4-3,0,data/tutorial_core/gff/7553-4-3.gff3
7553-4-40,0,data/tutorial_core/gff/7553-4-40.gff3
7553-4-41,0,data/tutorial_core/gff/7553-4-41.gff3
7553-4-42,0,data/tutorial_core/gff/7553-4-42.gff3
7553-4-44,0,data/tutorial_core/gff/7553-4-44.gff3
7553-4-47,0,data/tutorial_core/gff/7553-4-47.gff3
7553-4-48,0,data/tutorial_core/gff/7553-4-48.gff3
7553-4-4,0,data/tutorial_core/gff/7553-4-4.gff3
7553-4-5,1,data/tutorial_core/gff/7553-4-5.gff3
7553-4-6,1,data/tutorial_core/gff/7553-4-6.gff3
7553-4-7,0,data/tutorial_core/gff/7553-4-7.gff3
7553-4-8,0,data/tutorial_core/gff/7553-4-8.gff3
7553-4-9,0,data/tutorial_core/gff/7553-4-9.gff3
7553-5-49,0,data/tutorial_core/gff/7553-5-49.gff3
7553-5-50,1,data/tutorial_core/gff/7553-5-50.gff3
7553-5-51,0,data/tutorial_core/gff/7553-5-51.gff3
7553-5-52,0,data/tutorial_core/gff/7553-5-52.gff3
7553-5-53,1,data/tutorial_core/gff/7553-5-53.gff3
7553-5-54,1,data/tutorial_core/gff/7553-5-54.gff3
7553-5-55,0,data/tutorial_core/gff/7553-5-55.gff3
7553-5-56,1,data/tutorial_core/gff/7553-5-56.gff3
7553-5-57,1,data/tutorial_core/gff/7553-5-57.gff3
7553-5-58,1,data/tutorial_core/gff/7553-5-58.gff3
7553-5-59,1,data/tutorial_core/gff/7553-5-59.gff3
7553-5-60,0,data/tutorial_core/gff/7553-5-60.gff3
7553-5-61,1,data/tutorial_core/gff/7553-5-61.gff3
7553-5-62,0,data/tutorial_core/gff/7553-5-62.gff3
7553-5-63,1,data/tutorial_core/gff/7553-5-63.gff3
7553-5-64,0,data/tutorial_core/gff/7553-5-64.gff3
7553-5-65,0,data/tutorial_core/gff/7553-5-65.gff3
7553-5-66,0,data/tutorial_core/gff/7553-5-66.gff3
7553-5-67,1,data/tutorial_core/gff/7553-5-67.gff3
7553-5-68,1,data/tutorial_core/gff/7553-5-68.gff3
7553-5-69,0,data/tutorial_core/gff/7553-5-69.gff3
7553-5-70,1,data/tutorial_core/gff/7553-5-70.gff3
7553-5-71,0,data/tutorial_core/gff/7553-5-71.gff3
7553-5-72,1,data/tutorial_core/gff/7553-5-72.gff3
7553-5-73,0,data/tutorial_core/gff/7553-5-73.gff3
7553-5-74,1,data/tutorial_core/gff/7553-5-74.gff3
7553-5-75,0,data/tutorial_core/gff/7553-5-75.gff3
7553-5-76,0,data/tutorial_core/gff/7553-5-76.gff3
7553-5-77,1,data/tutorial_core/gff/7553-5-77.gff3
7553-5-78,1,data/tutorial_core/gff/7553-5-78.gff3
7553-5-79,1,data/tutorial_core/gff/7553-5-79.gff3
7553-5-80,0,data/tutorial_core/gff/7553-5-80.gff3
7553-5-81,1,data/tutorial_core/gff/7553-5-81.gff3
7553-5-82,0,data/tutorial_core/gff/7553-5-82.gff3
7553-5-83,1,data/tutorial_core/gff/7553-5-83.gff3
7553-5-84,1,data/tutorial_core/gff/7553-5-84.gff3
7553-5-85,1,data/tutorial_core/gff/7553-5-85.gff3
7553-5-86,0,data/tutorial_core/gff/7553-5-86.gff3
7553-5-87,1,data/tutorial_core/gff/7553-5-87.gff3
7553-5-88,0,data/tutorial_core/gff/7553-5-88.gff3
7553-5-89,1,data/tutorial_core/gff/7553-5-89.gff3
7553-5-90,0,data/tutorial_core/gff/7553-5-90.gff3
7553-5-91,0,data/tutorial_core/gff/7553-5-91.gff3
